year;_STATE;_COUNTY
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1971;Kansas;Kiowa
1976;Kansas;Wilson
1976;Kansas;Wilson
2007;Kansas;Wilson
2007;Kansas;Neosho
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1994;Kansas;Kingman
1988;Kansas;Crawford
1988;Kansas;Crawford
1988;Kansas;Crawford
1967;Missouri;Barton
1998;Colorado;Baca
1998;Colorado;Baca
1980;Colorado;Baca
1980;Colorado;Baca
1980;Colorado;Baca
1980;Colorado;Baca
1980;Colorado;Baca
1980;Colorado;Baca
1980;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1997;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
1968;Colorado;Baca
