"","State","Year","precip_mm"
"160","Colorado",1983,556.77
"161","Colorado",1984,521.97
"162","Colorado",1985,520.95
"163","Colorado",1986,503.68
"164","Colorado",1987,478.03
"165","Colorado",1988,425.2
"166","Colorado",1989,374.4
"167","Colorado",1990,505.46
"168","Colorado",1991,473.71
"169","Colorado",1992,470.66
"170","Colorado",1993,505.46
"171","Colorado",1994,435.1
"172","Colorado",1995,553.47
"173","Colorado",1996,504.19
"174","Colorado",1997,564.9
"175","Colorado",1998,476.76
"176","Colorado",1999,508.76
"177","Colorado",2000,429.51
"178","Colorado",2001,426.97
"179","Colorado",2002,300.99
"180","Colorado",2003,417.58
"181","Colorado",2004,480.82
"182","Colorado",2005,481.33
"183","Colorado",2006,474.22
"184","Colorado",2007,475.23
"185","Colorado",2008,443.48
"186","Colorado",2009,477.27
